기관,데이터명,End Point
국가기관 · 기타,국립중앙의료원_전국 병·의원 찾기 서비스,https://apis.data.go.kr/B552657/HsptlAsembySearchService
국가기관 · 기타,국토교통부_(TAGO)_버스노선정보,https://apis.data.go.kr/1613000/BusRouteInfoInqireService
국가기관 · 기타,국토교통부_(TAGO)_버스도착정보,https://apis.data.go.kr/1613000/ArvlInfoInqireService
국가기관 · 기타,국토교통부_(TAGO)_버스위치정보,https://apis.data.go.kr/1613000/BusLcInfoInqireService
국가기관 · 기타,국토교통부_(TAGO)_버스정류소정보,https://apis.data.go.kr/1613000/BusSttnInfoInqireService
국가기관 · 기타,전국무더위쉼터표준데이터,https://api.data.go.kr/openapi/tn_pubr_public_heat_wve_shltr_api
국가기관 · 기타,행정안전부_행정동별(통반단위) 성/연령별 주민등록 인구수,https://apis.data.go.kr/1741000/admmSexdAgePpltn
경상북도 본청,개인서비스요금 정보조회,https://apis.data.go.kr/6470000/PriceInfoPerson
경상북도 본청,공중화장실 정보 조회,https://apis.data.go.kr/6470000/standardPublictoilets
경상북도 본청,노인복지시설 현황조회,https://apis.data.go.kr/6470000/GbHappyMap
경상북도 본청,농기계 위치정보 및 실시간 사고정보 조회 서비스,https://apis.data.go.kr/6470000/VAspot
경상북도 본청,마을기업 조회 현황,https://apis.data.go.kr/6470000/gbVillageCompany
경상북도 본청,반려동물동반관광지정보 현황조회,https://apis.data.go.kr/6470000/GbPetTourism
경상북도 본청,밥상물가 정보조회,https://apis.data.go.kr/6470000/PriceInfoTable
경상북도 본청,사회적기업 현황조회,https://apis.data.go.kr/6470000/SocialCompany
경상북도 본청,시군별 주민센터 현황,https://apis.data.go.kr/6470000/gbFamily
경상북도 본청,어린이보호구역 정보조회,https://apis.data.go.kr/6470000/ChildProtectionZone
경상북도 본청,영덕군 개별주택가격조회,https://apis.data.go.kr/6470000/YeongdeokHousePrice
경상북도 본청,전통시장 정보조회,https://apis.data.go.kr/6470000/TraditionalMarket
경상북도 본청,협동조합 현황조회,https://apis.data.go.kr/6470000/GbCooperation
경상북도 안동시,개별공시지가자료,https://www.andong.go.kr/openapi/service/arDevJigaService
경상북도 안동시,개별주택가격,https://www.andong.go.kr/openapi/service/arDevHousePriceService
경상북도 안동시,보육시설현황 조회,https://www.andong.go.kr/openapi/service/welfareChildCareService
경상북도 안동시,사회복지시설현황 조회,https://www.andong.go.kr/openapi/service/welfareSocialService
경상북도 안동시,상수도 수질검사 결과,https://www.andong.go.kr/openapi/service/envWateranalysisResultService
경상북도 안동시,약국 현황,https://www.andong.go.kr/openapi/service/mediPharService
경상북도 안동시,에너지공급업체현황 조회,https://www.andong.go.kr/openapi/service/induEnergyStateService
경상북도 안동시,의료기관 현황,https://www.andong.go.kr/openapi/service/mediHsptService
경상북도 안동시,제조업체현황 조회,https://www.andong.go.kr/openapi/service/induManufacturerService
경상북도 안동시,취업정보,https://www.andong.go.kr/openapi/service/induJobService/
경상북도 포항시,공영 주차장 현황,https://apis.data.go.kr/5020000/pblmngPrkplceSttus
경상북도 포항시,광역 교통 월별 이용자 현황 전체,https://apis.data.go.kr/5020000/wdffcMnbyUserSttusAll
경상북도 포항시,광역 교통 월별 행선지 분석 전체,https://apis.data.go.kr/5020000/wdffcMnbyDstnAnalsAll
경상북도 포항시,광역 교통별 운영 현황 전체,https://apis.data.go.kr/5020000/wdffcOpratSttusAll
경상북도 포항시,교통 이슈 현황 리스트 지도,https://apis.data.go.kr/5020000/trnsportIssueSttusMap
경상북도 포항시,교통 통계 주요 도로 교통량 새천년대로,https://apis.data.go.kr/5020000/trnsportStatsMainRoadVmtcNmr
경상북도 포항시,교통 통계 주요 도로 교통량 포스코대로,https://apis.data.go.kr/5020000/trnsportStatsMainRoadVmtcPsrd
경상북도 포항시,교통 통계 주요 도로 교통량 희망대로,https://apis.data.go.kr/5020000/trnsportStatsMainRoadVmtcHmr
경상북도 포항시,교통 통계 주요 도로 속도,https://apis.data.go.kr/5020000/trnsportStatsMainRoadVe
경상북도 포항시,남녀 성 비율,https://apis.data.go.kr/5020000/mwmnSexRate
경상북도 포항시,내국인 생활 인구 통합,https://apis.data.go.kr/5020000/nativeLvlhPopltnUnity
경상북도 포항시,노령 인구,https://apis.data.go.kr/5020000/oaPopltn
경상북도 포항시,대기오염 환경,https://apis.data.go.kr/5020000/pohangArpltnEnvrn
경상북도 포항시,대피 장소 목록,https://apis.data.go.kr/5020000/pohangShuntPlaceList
경상북도 포항시,도로 교통 이슈 현황,https://apis.data.go.kr/5020000/roadTrnsportTrnsportIssueSttus
경상북도 포항시,도로 통행량 수치,https://apis.data.go.kr/5020000/pohangCityRoadPasngQyNcl
경상북도 포항시,방문 거주지 현황,https://apis.data.go.kr/5020000/pohangVisitResdncSttus
경상북도 포항시,방문 현황,https://apis.data.go.kr/5020000/pohangVisitSttus
경상북도 포항시,버스 정류장별 이용자 추이 단계,https://apis.data.go.kr/5020000/busStopAcctoUserTrnsitnStepTwo
경상북도 포항시,생산 가능 인구,https://apis.data.go.kr/5020000/prdctnPosblPopltn
경상북도 포항시,생활 인구 거주지 현황,https://apis.data.go.kr/5020000/pohangLvlhPopltnResdncSttus
경상북도 포항시,생활 지도 시설 현황,https://apis.data.go.kr/5020000/lvlhMapFcltySttus
경상북도 포항시,성별 연령별 방문,https://apis.data.go.kr/5020000/pohangSexAcctoAgeAcctoVisit
경상북도 포항시,성별 연령별 생활 인구 현황,https://apis.data.go.kr/5020000/pohangSexAcctoAgeAcctoLvlhPopltnSttu
경상북도 포항시,세대 구성,https://apis.data.go.kr/5020000/gnrCfg
