level,a,a_title,a_cat,a_col,a_keys,b,b_title,b_cat,b_col,b_keys,matched,match_rate,dropped_a,dropped_b,sample_matched,sample_unmatched
emd,15139519,경상북도 포항시_생활 지도 시설 현황,사회복지 - 사회복지일반,addr,84,15139542,경상북도 포항시_인구 건물 위치,사회복지 - 노인·청소년,sigun,43,43,1.0,41,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대도동|포항시|대송면,경주시|강동면|군위군|군위읍|봉화군|봉화읍|봉화군|신내동|상주시|공성면
emd,ep_YeongcheonCCTV,경상북도 영천시_CCTV 현황,일반공공행정 - 일반행정,lotAddr,40,ep_YeongcheonRestaurants,경상북도 영천시_일반음식점현황,보건 - 식품의약안전,lotAddr,37,37,1.0,3,0,영천시|고경면|영천시|과전동|영천시|괴연동|영천시|교촌동|영천시|금노동,영천시|녹전동|영천시|대전동|영천시|매산동
emd,15157767,경상북도 영천시_공장 현황,산업·통상·중소기업 - 산업·중소기업일반,lotAddr,33,ep_YeongcheonCCTV,경상북도 영천시_CCTV 현황,일반공공행정 - 일반행정,lotAddr,40,33,1.0,0,7,영천시|고경면|영천시|괴연동|영천시|금노동|영천시|금호읍|영천시|녹전동,영천시|과전동|영천시|교촌동|영천시|문내동|영천시|문외동|영천시|쌍계동
emd,15097246,경상북도 구미시_일반 음식점,문화체육관광 - 관광,locplcrn,50,15097248,경상북도 구미시_어린이 보호 구역,공공질서및안전 - 안전관리,lnm_adres,32,32,1.0,18,0,구미시|고아읍|구미시|공단동|구미시|광평동|구미시|구평동|구미시|구포동,구미시|가동|구미시|가동동|구미시|거의동|구미시|나동|구미시|나호동
emd,15097248,경상북도 구미시_어린이 보호 구역,공공질서및안전 - 안전관리,lnm_adres,32,15097249,경상북도 구미시_경로당,사회복지 - 노인·청소년,lnm_adres,36,32,1.0,0,4,구미시|고아읍|구미시|공단동|구미시|광평동|구미시|구평동|구미시|구포동,구미시|거의동|구미시|부곡동|구미시|신동|구미시|양호동
emd,15139550,경상북도 포항시_지역별 기상 현황,환경 - 대기,lc,29,15139552,경상북도 포항시_지역별 노령 인구 현황,일반공공행정 - 국가통계,sigun,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139550,경상북도 포항시_지역별 기상 현황,환경 - 대기,lc,29,15139553,경상북도 포항시_지역별 생산 가능 인구 현황,일반공공행정 - 국가통계,sigun,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139550,경상북도 포항시_지역별 기상 현황,환경 - 대기,lc,29,15139556,경상북도 포항시_지역별 유소년 인구 현황,일반공공행정 - 국가통계,sigun,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139550,경상북도 포항시_지역별 기상 현황,환경 - 대기,lc,29,15139557,경상북도 포항시_지역별 주민등록 인구 현황,일반공공행정 - 국가통계,gpmn,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139550,경상북도 포항시_지역별 기상 현황,환경 - 대기,lc,29,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
